Latitude,Longitude,median_U,median_V
17.2509,-67.6015,0.20500000000000002,-0.15000000000000002
17.2509,-67.5458,0.3,-0.12
17.2509,-67.4343,0.17,-0.07
17.2509,-67.3786,0.08,-0.03
17.2509,-67.3228,-0.01,0.01
17.2509,-67.2671,-0.05,0.03
17.2509,-67.2113,-0.16,0.03
17.2509,-67.1556,-0.15,0.02
17.2509,-67.0999,-0.165,-0.02
17.2509,-67.0441,-0.14,-0.04
17.2509,-66.9884,-0.14,-0.04
17.2509,-66.9326,-0.14,-0.065
17.2509,-66.8769,-0.16,-0.07
17.2509,-66.8212,-0.16,-0.07
17.2509,-66.7654,-0.14,-0.08
17.2509,-66.7097,-0.15,-0.09
17.2509,-66.6539,-0.16,-0.1
17.2509,-66.5982,-0.15,-0.09
17.2509,-66.5425,-0.15,-0.08
17.2509,-66.4867,-0.14,-0.06
17.2509,-66.431,-0.15,-0.05
17.2509,-66.3752,-0.15,-0.03
17.2509,-66.3195,-0.15,-0.03
17.2509,-66.2638,-0.14,-0.02
17.2509,-66.208,-0.14,0.0
17.2509,-66.1523,-0.15,0.02
17.2509,-66.0965,-0.15,0.03
17.2509,-66.0408,-0.15,0.03
17.2509,-65.9851,-0.15,0.03
17.2509,-65.9293,-0.14,0.05
17.2509,-65.8736,-0.14,0.08
17.2509,-65.8178,-0.12,0.11
17.2509,-65.7621,-0.1,0.14
17.2509,-65.7064,-0.13,0.14
17.2509,-65.6506,-0.15,0.11
17.2509,-65.5949,-0.16,0.07500000000000001
17.2509,-65.5391,-0.17,0.08
17.2509,-65.4834,-0.08,0.11
17.2509,-65.4277,-0.045,0.12
17.2509,-65.3719,0.0,0.07500000000000001
17.2509,-65.3162,-0.01,-0.06
17.3049,-67.6573,-0.04,-0.04
17.3049,-67.6015,0.05,-0.05
17.3049,-67.5458,0.18,-0.055
17.3049,-67.49,0.14,-0.03
17.3049,-67.4343,0.22,-0.05
17.3049,-67.3786,0.13,-0.01
17.3049,-67.3228,0.08,0.01
17.3049,-67.2671,-0.06,0.03
17.3049,-67.2113,-0.05,0.01
17.3049,-67.1556,-0.13,0.0
17.3049,-67.0999,-0.12,-0.03
17.3049,-67.0441,-0.11,-0.07
17.3049,-66.9884,-0.12,-0.05
17.3049,-66.9326,-0.13,-0.06
17.3049,-66.8769,-0.14,-0.07
17.3049,-66.8212,-0.16,-0.08
17.3049,-66.7654,-0.16,-0.08
17.3049,-66.7097,-0.15,-0.09
17.3049,-66.6539,-0.16,-0.1
17.3049,-66.5982,-0.16,-0.09
17.3049,-66.5425,-0.16,-0.08
17.3049,-66.4867,-0.15,-0.06
17.3049,-66.431,-0.15,-0.04
17.3049,-66.3752,-0.15,-0.03
17.3049,-66.3195,-0.14,-0.03
17.3049,-66.2638,-0.13,-0.02
17.3049,-66.208,-0.14,0.0
17.3049,-66.1523,-0.15,0.01
17.3049,-66.0965,-0.15,0.02
17.3049,-66.0408,-0.15,0.02
17.3049,-65.9851,-0.14,0.04
17.3049,-65.9293,-0.13,0.04
17.3049,-65.8736,-0.12,0.08
17.3049,-65.8178,-0.11,0.12
17.3049,-65.7621,-0.12,0.13
17.3049,-65.7064,-0.13,0.12
17.3049,-65.6506,-0.14,0.1
17.3049,-65.5949,-0.16,0.07
17.3049,-65.5391,-0.14,0.045
17.3049,-65.4834,-0.04,0.09
17.3049,-65.4277,-0.06,0.01
17.3049,-65.3719,-0.035,0.055
17.3588,-67.6573,-0.12,0.1
17.3588,-67.6015,-0.06,0.08
17.3588,-67.5458,-0.04,0.07
17.3588,-67.49,0.1,-0.01
17.3588,-67.4343,0.14,-0.02
17.3588,-67.3786,0.14,-0.01
17.3588,-67.3228,0.11,0.0
17.3588,-67.2671,0.06,0.005
17.3588,-67.2113,-0.02,0.0
17.3588,-67.1556,-0.01,-0.01
17.3588,-67.0999,-0.11,-0.05
17.3588,-67.0441,-0.09,-0.05
17.3588,-66.9884,-0.09,-0.06
17.3588,-66.9326,-0.12,-0.07
17.3588,-66.8769,-0.13,-0.06
17.3588,-66.8212,-0.13,-0.08
17.3588,-66.7654,-0.14,-0.09
17.3588,-66.7097,-0.14,-0.09
17.3588,-66.6539,-0.15,-0.1
17.3588,-66.5982,-0.15,-0.09
17.3588,-66.5425,-0.16,-0.08
17.3588,-66.4867,-0.15,-0.06
17.3588,-66.431,-0.15,-0.05
