Latitude,Longitude,mean_U,mean_V,Speed,unit_U,unit_V
16.6037,-66.5425,-0.087735849,-0.127044025,0.15439483,-0.568256392,-0.82285155
16.6037,-66.4867,-0.080991736,-0.129338843,0.15260471,-0.530728937,-0.847541619
16.6037,-66.431,-0.068964497,-0.128195266,0.145568294,-0.473760427,-0.880653767
16.6037,-66.3752,-0.060567164,-0.130626866,0.143985275,-0.420648321,-0.907223782
16.6037,-66.3195,-0.041551247,-0.116371191,0.123566825,-0.33626539,-0.941767268
16.6037,-66.2638,-0.022386707,-0.096495468,0.099058266,-0.225995345,-0.974128382
16.6037,-66.208,-0.009836066,-0.096098361,0.09660043,-0.101822172,-0.994802616
16.6037,-66.1523,0.009618644,-0.084661017,0.085205669,0.112887372,-0.99360779
16.6037,-66.0965,-0.018674242,-0.063636364,0.066319787,-0.281578747,-0.959538123
16.6037,-66.0408,0.023,-0.036863636,0.04345029,0.529340543,-0.848409447
16.6037,-65.9851,0.088198198,0.008018018,0.088561904,0.995893206,0.090535746
16.6037,-65.9293,0.049545455,0.005909091,0.049896587,0.992962791,0.118426755
16.6037,-65.8736,0.00304,0.02712,0.027289852,0.111396722,0.993776016
16.6037,-65.8178,0.040507246,0.062681159,0.074630857,0.542768075,0.839882621
16.6037,-65.7621,0.122307692,0.123846154,0.174060453,0.70267364,0.711512302
16.6037,-65.7064,0.141298701,0.118181818,0.184207126,0.767064253,0.641570285
16.6037,-65.6506,0.072,0.178,0.192010416,0.374979657,0.92703304
16.6576,-67.49,0.014090909,-0.001666667,0.014189133,0.993077522,-0.117460782
16.6576,-67.4343,0.02,-0.016764706,0.026097037,0.766370514,-0.642398813
16.6576,-67.3786,-0.031470588,-0.002156863,0.031544413,-0.997659662,-0.068375429
16.6576,-67.2671,-0.07787234,-0.008138298,0.078296445,-0.994583349,-0.103942112
16.6576,-67.2113,-0.056956522,-0.030072464,0.064408062,-0.884307337,-0.466905273
16.6576,-67.1556,-0.093396226,-0.046264151,0.104226804,-0.896086442,-0.443879587
16.6576,-67.0999,-0.196904762,-0.032857143,0.199627346,-0.98636167,-0.164592395
16.6576,-67.0441,-0.13,-0.07169279,0.148458264,-0.875666982,-0.482915454
16.6576,-66.9884,-0.124676471,-0.081147059,0.14875842,-0.838113706,-0.545495569
16.6576,-66.9326,-0.121298701,-0.087142857,0.149356126,-0.81214413,-0.583456864
16.6576,-66.8769,-0.116950549,-0.10010989,0.153946163,-0.759684731,-0.650291557
16.6576,-66.8212,-0.110625,-0.104048913,0.151868584,-0.728425832,-0.685124665
16.6576,-66.7654,-0.091580311,-0.113031088,0.145475016,-0.629526042,-0.776979384
16.6576,-66.7097,-0.075412088,-0.121758242,0.143220293,-0.526546107,-0.850146574
16.6576,-66.6539,-0.070185185,-0.121322751,0.140161229,-0.500746073,-0.86559423
16.6576,-66.5982,-0.075605263,-0.124842105,0.145951043,-0.51801797,-0.855369735
16.6576,-66.5425,-0.077008798,-0.126363636,0.147980146,-0.520399526,-0.853922908
16.6576,-66.4867,-0.084027027,-0.124108108,0.149877829,-0.560636802,-0.828061819
16.6576,-66.431,-0.078767123,-0.11860274,0.142375804,-0.553233914,-0.833025952
16.6576,-66.3752,-0.067151163,-0.120465116,0.137917087,-0.486895164,-0.873460416
16.6576,-66.3195,-0.049584416,-0.107350649,0.118248789,-0.419322818,-0.907837196
16.6576,-66.2638,-0.015567867,-0.083518006,0.084956552,-0.183245043,-0.983067268
16.6576,-66.208,-0.006477612,-0.086686567,0.086928248,-0.074516766,-0.997219761
16.6576,-66.1523,-0.003587302,-0.066380952,0.066477813,-0.053962389,-0.998542969
16.6576,-66.0965,0.012833876,-0.042019544,0.043935754,0.292105521,-0.956386096
16.6576,-66.0408,0.031136364,-0.014545455,0.034366312,0.906014116,-0.42324747
16.6576,-65.9851,0.050639269,0.01826484,0.053832518,0.94068179,0.339290096
16.6576,-65.9293,-0.025978261,0.033315217,0.042246583,-0.614919817,0.788589639
16.6576,-65.8736,-0.006454545,0.056,0.056370747,-0.114501683,0.993423054
16.6576,-65.8178,0.044032258,0.068790323,0.081675873,0.539109733,0.842235535
16.6576,-65.7621,0.006666667,0.103333333,0.103548164,0.064382278,0.997925309
16.6576,-65.7064,0.046363636,0.137142857,0.144767918,0.320261817,0.947329071
16.6576,-65.6506,0.094927536,0.178550725,0.202216711,0.469434675,0.882967205
16.7115,-67.49,-0.02,0.003636364,0.020327891,-0.98386991,0.178885438
16.7115,-67.4343,-0.029803922,-0.016078431,0.033864283,-0.880098986,-0.474790243
16.7115,-67.3786,-0.042576687,0.000184049,0.042577085,-0.999990657,0.004322726
16.7115,-67.3228,-0.037386364,-0.01125,0.039042319,-0.957585626,-0.288148866
16.7115,-67.2671,-0.086321244,-0.00761658,0.086656618,-0.99612985,-0.08789381
16.7115,-67.2113,-0.094682927,-0.02,0.096772189,-0.978410507,-0.206670947
16.7115,-67.1556,-0.115728477,-0.037682119,0.121708761,-0.950863981,-0.30960893
16.7115,-67.0999,-0.132411348,-0.036099291,0.13724403,-0.964787668,-0.263029953
16.7115,-67.0441,-0.142909605,-0.060508475,0.155191593,-0.920859189,-0.389895312
16.7115,-66.9884,-0.1324,-0.080857143,0.15513748,-0.85343658,-0.521196703
16.7115,-66.9326,-0.115952381,-0.080529101,0.141173265,-0.821348016,-0.570427415
16.7115,-66.8769,-0.119510309,-0.092989691,0.151425878,-0.78923306,-0.614093785
16.7115,-66.8212,-0.111180905,-0.10138191,0.150464232,-0.738919164,-0.673794085
16.7115,-66.7654,-0.09695962,-0.10719715,0.144542024,-0.670805743,-0.7416331
16.7115,-66.7097,-0.083969466,-0.116564885,0.143660167,-0.584500681,-0.811393218
16.7115,-66.6539,-0.069065657,-0.116540404,0.13546856,-0.509827938,-0.860276393
16.7115,-66.5982,-0.0723,-0.121025,0.140976383,-0.512851858,-0.858477124
16.7115,-66.5425,-0.083967136,-0.116619718,0.143703301,-0.584309029,-0.811531243
16.7115,-66.4867,-0.080946292,-0.115063939,0.140684086,-0.575376319,-0.817888802
16.7115,-66.431,-0.075529101,-0.112248677,0.135293794,-0.558259906,-0.829666124
16.7115,-66.3752,-0.064708995,-0.108492063,0.126324114,-0.512245782,-0.858838901
16.7115,-66.3195,-0.065820106,-0.095555556,0.116030817,-0.567264003,-0.823536005
16.7115,-66.2638,-0.032486631,-0.083181818,0.089300594,-0.363789641,-0.931481131
16.7115,-66.208,-0.013735955,-0.071910112,0.07321025,-0.187623387,-0.982241042
16.7115,-66.1523,-0.004925373,-0.043074627,0.043355309,-0.113604846,-0.993526013
16.7115,-66.0965,0.022573099,-0.022426901,0.031819973,0.70940033,-0.704805769
16.7115,-66.0408,0.038899676,0.00961165,0.040069548,0.970803982,0.239874195
16.7115,-65.9851,-0.018495146,0.032864078,0.03771098,-0.490444577,0.871472385
16.7115,-65.9293,-0.003571429,0.059579832,0.059686778,-0.059836176,0.998208211
16.7115,-65.8736,0.004014085,0.078661972,0.078764324,0.050963232,0.99870053
16.7115,-65.8178,0.036223776,0.080559441,0.088328848,0.410101308,0.912039975
16.7115,-65.7621,0.015,0.121065574,0.121991283,0.122959605,0.992411676
16.7115,-65.7064,0.039926471,0.156764706,0.161769268,0.246811221,0.969063579
16.7115,-65.6506,0.141573034,0.233370787,0.272955762,0.518666588,0.85497659
16.7115,-65.5949,0.17057971,0.26173913,0.312417685,0.545998893,0.837785897
16.7655,-67.6015,-0.044,-0.03,0.053254108,-0.826227343,-0.563336825
16.7655,-67.5458,-0.035,0.0075,0.035794553,-0.977802414,0.209529089
16.7655,-67.49,0.006666667,0.04,0.04055175,0.164398987,0.986393924
16.7655,-67.4343,-0.037777778,0.014444444,0.040445055,-0.934051835,0.357137466
16.7655,-67.3786,-0.032553191,-0.00822695,0.033576673,-0.969518071,-0.245019817
16.7655,-67.3228,-0.055414013,-0.00566879,0.055703213,-0.994808187,-0.101767734
16.7655,-67.2671,-0.073773585,-0.01009434,0.07446098,-0.990768387,-0.135565495
16.7655,-67.2113,-0.12509434,0.011509434,0.125622693,-0.995794129,0.091619068
16.7655,-67.1556,-0.136866197,-0.025176056,0.139162458,-0.983499423,-0.180911265
16.7655,-67.0999,-0.150227273,-0.032012987,0.153600341,-0.978039968,-0.208417421
16.7655,-67.0441,-0.143790087,-0.048746356,0.151828181,-0.947057963,-0.321062635
16.7655,-66.9884,-0.142985915,-0.067887324,0.158283482,-0.903353359,-0.428897084
16.7655,-66.9326,-0.136284289,-0.076708229,0.15638913,-0.87144349,-0.490495915
16.7655,-66.8769,-0.133425,-0.08305,0.157160851,-0.848970969,-0.52843949
16.7655,-66.8212,-0.125183585,-0.092224622,0.155487334,-0.805104714,-0.5931327
16.7655,-66.7654,-0.102309469,-0.100138568,0.14316061,-0.714648176,-0.699484084
16.7655,-66.7097,-0.09086758,-0.109383562,0.142202956,-0.638999235,-0.76920737
16.7655,-66.6539,-0.09040724,-0.107013575,0.140090593,-0.6453484,-0.763888371
16.7655,-66.5982,-0.073743719,-0.11798995,0.13913937,-0.52999894,-0.847998304
16.7655,-66.5425,-0.081803279,-0.110562061,0.137534526,-0.594783589,-0.803885864
16.7655,-66.4867,-0.081565657,-0.109772727,0.136758941,-0.596419188,-0.802673129
16.7655,-66.431,-0.073007335,-0.102811736,0.126096487,-0.578979929,-0.815341795
16.7655,-66.3752,-0.071163366,-0.09480198,0.118539614,-0.600334047,-0.799749356
16.7655,-66.3195,-0.064,-0.085873418,0.107099224,-0.59757669,-0.801811761
16.7655,-66.2638,-0.046828087,-0.072348668,0.086181202,-0.543367767,-0.839494771
16.7655,-66.208,-0.031604278,-0.056336898,0.064596258,-0.489258653,-0.872138733
16.7655,-66.1523,-0.008112676,-0.041408451,0.042195679,-0.192263196,-0.981343397
16.7655,-66.0965,0.013994169,-0.01058309,0.017545329,0.797600836,-0.603185632
16.7655,-66.0408,-0.025661157,0.026983471,0.037237114,-0.689128506,0.724639153
16.7655,-65.9851,0.002696629,0.056142322,0.056207047,0.04797671,0.998848455
16.7655,-65.9293,-0.008836207,0.06612069,0.066708501,-0.132459982,0.991188354
16.7655,-65.8736,-0.026994536,0.075300546,0.079992982,-0.337461296,0.941339404
16.7655,-65.8178,-0.053028846,0.112644231,0.124502134,-0.425927208,0.904757433
16.7655,-65.7621,-0.008670886,0.136518987,0.136794072,-0.063386417,0.997989059
16.7655,-65.7064,0.04512,0.16456,0.170633549,0.264426312,0.964405893
16.7655,-65.6506,0.119761905,0.249880952,0.277098185,0.43220025,0.901777658
16.7655,-65.5949,0.049487179,0.239358974,0.244421152,0.202466845,0.979289118
16.7655,-65.4834,0.1375,0.385,0.408816891,0.336336397,0.941741912
16.8194,-67.5458,-0.097647059,0.02,0.09967421,-0.979662232,0.20065371
16.8194,-67.49,-0.174,0.06,0.18405434,-0.945372982,0.325990683
16.8194,-67.4343,-0.080666667,0.002,0.080691456,-0.999692786,0.024785772
16.8194,-67.3786,-0.061049383,-8.57E-20,0.061049383,-1,-1.40E-18
16.8194,-67.3228,-0.085056818,0.001306818,0.085066857,-0.999881994,0.015362248
16.8194,-67.2671,-0.091259843,-0.007007874,0.091528516,-0.997064598,-0.076564926
16.8194,-67.2113,-0.10453271,-0.017429907,0.10597589,-0.986382004,-0.164470491
16.8194,-67.1556,-0.138466077,-0.028112094,0.141290991,-0.980006406,-0.198965936
16.8194,-67.0999,-0.16609375,-0.031875,0.169124656,-0.982078861,-0.188470449
16.8194,-67.0441,-0.160602094,-0.048743455,0.167836102,-0.956898381,-0.290422948
16.8194,-66.9884,-0.151893333,-0.06032,0.16343221,-0.92939656,-0.369082693
16.8194,-66.9326,-0.145390244,-0.071902439,0.162198285,-0.896373495,-0.443299625
16.8194,-66.8769,-0.148946078,-0.076642157,0.167508073,-0.889187463,-0.457543064
16.8194,-66.8212,-0.135545852,-0.085982533,0.160516896,-0.844433547,-0.535660326
16.8194,-66.7654,-0.128763326,-0.088614072,0.156308823,-0.823775166,-0.56691664
16.8194,-66.7097,-0.099978022,-0.101098901,0.142185065,-0.703154175,-0.711037416
16.8194,-66.6539,-0.095484581,-0.10314978,0.140560245,-0.679314281,-0.733847469
16.8194,-66.5982,-0.089205298,-0.104966887,0.137752069,-0.647578641,-0.761998624
16.8194,-66.5425,-0.089619048,-0.098904762,0.13346807,-0.671464327,-0.74103688
16.8194,-66.4867,-0.088363636,-0.101113636,0.134283654,-0.658037176,-0.752985441
16.8194,-66.431,-0.080425056,-0.096644295,0.1257311,-0.63965921,-0.768658634
16.8194,-66.3752,-0.080230415,-0.085046083,0.11691773,-0.686212557,-0.727401077
16.8194,-66.3195,-0.072396313,-0.07124424,0.101572476,-0.712755229,-0.701412848
16.8194,-66.2638,-0.068896882,-0.062733813,0.093178923,-0.739404151,-0.673261837
16.8194,-66.208,-0.050870712,-0.057282322,0.076610011,-0.664021735,-0.747713271
16.8194,-66.1523,-0.040460358,-0.03483376,0.053389431,-0.757834594,-0.652446724
16.8194,-66.0965,-0.040056338,-0.00828169,0.040903504,-0.979288679,-0.202468967
16.8194,-66.0408,-0.021151316,0.025855263,0.033404682,-0.633184165,0.774001172
16.8194,-65.9851,-0.021021672,0.045263158,0.049906554,-0.421220663,0.906958187
16.8194,-65.9293,-0.031428571,0.065405405,0.072564607,-0.433111579,0.901340313
16.8194,-65.8736,-0.070798122,0.084131455,0.1099567,-0.643872743,0.765132597
16.8194,-65.8178,-0.066789474,0.101157895,0.121217794,-0.550987374,0.834513579
16.8194,-65.7621,-0.010294118,0.130117647,0.130524216,-0.078867493,0.996885108
16.8194,-65.7064,0.0016,0.16744,0.167447644,0.009555225,0.999954348
16.8194,-65.6506,0.048688525,0.227540984,0.232691795,0.209240401,0.977864231
16.8194,-65.5949,0.071775701,0.265981308,0.275495567,0.260533052,0.965464929
16.8194,-65.5391,0.148333333,0.36,0.389362014,0.380965087,0.924589424
16.8194,-65.4834,0.131612903,0.330322581,0.355576945,0.370139024,0.928976374
16.8734,-67.5458,-0.135,0.049,0.143617548,-0.939996555,0.341183935
